name,category,language,before_loc,after_loc,before_bytes,after_bytes,before_nodes,after_nodes,has_mapping,op_identical,op_update,op_match_but_not_identical,op_delete,op_delete_with_children,op_insert,op_insert_with_children,node_op_identical,node_op_update,node_op_match_but_not_identical,node_op_delete,node_op_delete_with_children,node_op_insert,node_op_insert_with_children,implicit_identical_nodes,paired_entries,depth_delta_0,depth_delta_1,depth_delta_2,depth_delta_3plus,reorder_signals,group_count,group_with_children,group_all_to_all,current_mismatches
c-sqlite-sqlite-fix-format-string-typo,stratified,C,1828,1828,49542,49542,13434,13434,true,13421,1,12,0,0,0,0,26842,2,24,0,0,0,0,0,13434,13434,0,0,0,0,0,0,0,0
c-tmux-tmux-delete-one-include,stratified,C,981,980,18295,18275,6812,6809,true,6808,0,1,0,1,0,0,13616,0,2,0,3,0,0,0,6809,6809,0,0,0,0,0,0,0,0
c-tripwire-tripwire-open-source-add-single-item-to-list,full,C,359,360,12613,12629,1201,1204,true,1194,0,7,0,0,0,2,2388,0,14,0,0,0,3,0,1201,1201,0,0,0,0,0,0,0,0
cpp-add-const-correctness,handmade,CPP,15,15,274,287,116,122,true,108,0,8,0,0,6,0,216,0,16,0,0,6,0,0,116,115,1,0,0,0,0,0,0,0
cpp-add-memory-management,handmade,CPP,13,14,246,294,89,107,true,80,0,5,4,0,22,0,160,0,10,4,0,22,0,0,85,82,1,0,2,0,0,0,0,0
cpp-add-templates,handmade,CPP,14,15,241,252,105,119,true,87,3,12,3,0,17,0,174,6,24,3,0,17,0,0,102,54,48,0,0,0,0,0,0,0
cpp-arximboldi-lager-add-two-test-cases,full,CPP,251,292,5931,7076,2322,2796,true,2321,0,1,0,0,0,6,4642,0,2,0,0,0,474,0,2322,2322,0,0,0,0,0,0,0,0
cpp-bolero-murakami-sprout-copyright-comment-update,full,CPP,91,91,3901,3901,809,809,true,807,1,1,0,0,0,0,1614,2,2,0,0,0,0,0,809,809,0,0,0,0,0,0,0,0
cpp-bolero-murakami-sprout-copyright-update,full,CPP,60,60,2113,2113,489,489,true,487,1,1,0,0,0,0,974,2,2,0,0,0,0,0,489,489,0,0,0,0,0,0,0,0
cpp-bolero-murakami-sprout-copyright-update-3,full,CPP,243,243,9967,9967,2268,2268,true,2266,1,1,0,0,0,0,4532,2,2,0,0,0,0,0,2268,2268,0,0,0,0,0,0,0,0
cpp-cgdb-cgdb-struct-to-pointer,full,CPP,1185,1189,35391,35441,5708,5728,true,5623,2,43,2,3,4,2,11246,4,86,2,38,4,56,0,5668,5667,1,0,0,0,0,0,0,110
cpp-electron-electron-add-imports,stratified,CPP,18,23,589,758,85,109,true,84,0,1,0,0,0,4,168,0,2,0,0,0,24,0,85,85,0,0,0,0,0,0,0,0
cpp-fix-segfault,handmade,CPP,19,19,391,390,170,170,true,164,0,6,0,0,0,0,328,0,12,0,0,0,0,0,170,170,0,0,0,0,0,0,0,0
cpp-godot-small-bugfix,small,CPP,685,687,20670,20684,5826,5832,true,5815,0,9,2,0,8,0,11630,0,18,2,0,8,0,0,5824,5799,10,15,0,0,0,0,0,13
cpp-godotengine-godot-add-include,stratified,CPP,59,61,2868,2903,176,182,true,175,0,1,0,0,0,1,350,0,2,0,0,0,6,0,176,176,0,0,0,0,0,0,0,0
cpp-godotengine-godot-add-one-include,stratified,CPP,9460,9461,420428,420460,96272,96278,true,96271,0,1,0,0,0,1,192542,0,2,0,0,0,6,0,96272,96272,0,0,0,0,0,0,0,0
cpp-godotengine-godot-add-one-include-2,stratified,CPP,1005,1006,33071,33105,9687,9693,true,9686,0,1,0,0,0,1,19372,0,2,0,0,0,6,0,9687,9687,0,0,0,0,0,0,0,0
cpp-godotengine-godot-add-one-include-3,stratified,CPP,277,278,11437,11471,3044,3050,true,3043,0,1,0,0,0,1,6086,0,2,0,0,0,6,0,3044,3044,0,0,0,0,0,0,0,0
cpp-godotengine-godot-add-one-include-4,stratified,CPP,208,209,7963,7997,1810,1816,true,1808,0,2,0,0,0,1,3616,0,4,0,0,0,6,0,1810,1810,0,0,0,0,0,0,0,0
cpp-godotengine-godot-add-one-include-5,stratified,CPP,206,207,8181,8218,1743,1749,true,1742,0,1,0,0,0,1,3484,0,2,0,0,0,6,0,1743,1743,0,0,0,0,0,0,0,0
cpp-godotengine-godot-insert-one-include,stratified,CPP,1143,1144,45120,45144,13163,13169,true,13162,0,1,0,0,0,1,26324,0,2,0,0,0,6,0,13163,13163,0,0,0,0,0,0,0,0
cpp-godotengine-godot-two-imports-added,stratified,CPP,202,204,8018,8097,1671,1683,true,1670,0,1,0,0,0,2,3340,0,2,0,0,0,12,0,1671,1671,0,0,0,0,0,0,0,0
cpp-jpnurmi-znc-playback-adding-new-feature,full,CPP,268,307,8890,10147,2768,3151,true,2743,0,25,0,0,8,7,5486,0,50,0,0,8,375,0,2768,2768,0,0,0,0,0,0,0,0
cpp-ladybird-refactor-variables-if-changes,small,CPP,564,590,27975,29948,6028,6630,true,5932,1,38,55,0,145,5,11870,2,76,55,0,145,510,6,5971,5757,55,158,1,0,2,0,0,107
cpp-ladybirdbrowser-ladybird-add-real-logic,stratified,CPP,42,50,1313,1714,261,311,true,256,0,5,0,0,0,6,512,0,10,0,0,0,50,0,261,261,0,0,0,0,0,0,0,0
cpp-ladybirdbrowser-ladybird-change-inherited-class-name,stratified,CPP,28,28,681,665,152,152,true,145,1,6,0,0,0,0,290,2,12,0,0,0,0,0,152,152,0,0,0,0,0,0,0,0
cpp-lancos-ponyprog-remove-a-few-lines,full,CPP,774,769,16352,16228,3216,3174,true,3167,0,7,0,1,0,0,6334,0,14,0,42,0,0,0,3174,3174,0,0,0,0,0,0,0,0
cpp-laydbird-change-function-signature,small,CPP,387,387,18051,18146,3544,3577,true,3442,1,22,51,2,112,0,6884,2,44,51,28,112,0,0,3465,3462,1,0,2,0,0,0,0,58
