language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations
Rust,0-10,rust-lang-rust.git,9b0be7857af8e355523b1db8b9e24acfd9be7db1,tests/ui/unsafe-binders/simple.rs,142,89,47,45,ok,0.414686,14176,55652,47
Rust,0-10,rust-lang-rust.git,9b0be7857af8e355523b1db8b9e24acfd9be7db1,tests/ui/unsafe-binders/type-mismatch.rs,225,172,62,60,ok,0.554633,28224,92620,62
Rust,0-10,rust-lang-rust.git,ae3d87c2a80170371a776a54472bf3d30be871e9,tests/ui/parser/shebang/multiline-attrib.rs,119,116,32,32,ok,0.344767,14176,47332,32
Rust,0-10,rust-lang-rust.git,ae3d87c2a80170371a776a54472bf3d30be871e9,tests/ui/parser/shebang/regular-attrib.rs,117,114,31,31,ok,0.233796,14176,47478,31
Rust,0-10,rust-lang-rust.git,ae3d87c2a80170371a776a54472bf3d30be871e9,tests/ui/parser/shebang/shebang-doc-comment.rs,122,119,17,17,ok,0.13475,7280,23162,17
Rust,0-10,rust-lang-rust.git,bc4dfa5e3338ddd8eece1ba741f38ee69e2f636c,library/std/benches/lib.rs,139,186,46,46,ok,0.346627,14176,51896,46
Rust,0-10,rust-lang-rust.git,be5f0708e4f493c028120fd2bf1bbadbd4e3bef4,library/std/src/sys/pal/trusty/mod.rs,186,141,57,40,ok,0.125035,23312,70740,57
Rust,0-10,rust-lang-rust.git,be5f0708e4f493c028120fd2bf1bbadbd4e3bef4,library/std/src/sys/pal/unsupported/mod.rs,78,65,31,25,ok,0.07216,11392,40268,31
Rust,0-10,rust-lang-rust.git,dd2b2084c9914fdb123d8b8e3b77e5c751c42ef8,tests/ui/lto/lto-avx-target-feature.rs,195,268,20,25,ok,0.08984400000000001,9634,36699,25
Rust,0-10,rust-lang-rust.git,de48ea79afc68747f62094d052444e50ab65e671,tests/ui/attributes/crate-type-macro-empty.rs,234,189,36,34,ok,0.37607,14176,51878,36
Rust,0-10,rust-lang-rust.git,de48ea79afc68747f62094d052444e50ab65e671,tests/ui/attributes/extented-attribute-macro-error.rs,225,180,40,38,ok,0.709606,14176,52852,40
Rust,0-10,rustdesk-rustdesk.git,b2dff336ce4de2a1fa0ac88cdcd160ba304c2a52,libs/scrap/src/wayland.rs,112,129,27,33,ok,0.348257,13036,52088,33
Rust,0-10,tauri-apps-tauri.git,bda8304107da7ca60caaba5674faa793491898c6,crates/tauri-cli/src/migrate/migrations/mod.rs,169,171,19,19,ok,0.163059,7152,25752,19
Rust,10-30,GyulyVGC-sniffnet.git,07fad71314426bac4020b3be888641720533c96c,src/configs/types/configs.rs,704,722,219,221,ok,2.4514139999999998,195438,1132870,221
Rust,10-30,GyulyVGC-sniffnet.git,10ddbaa38f37644bf0bbf1cd8526cc8993fec450,src/networking/types/mod.rs,527,544,145,151,ok,0.6961820000000001,56484,229968,151
Rust,10-30,GyulyVGC-sniffnet.git,13bb68185142c1c21d4e79f1d092725f6093c9b4,src/gui/styles/types/custom_palette.rs,588,615,174,186,ok,0.885865,83443,292803,186
Rust,10-30,GyulyVGC-sniffnet.git,1619b5d5f782e5b7d938014e747e316825ad4820,src/translations/translations_4.rs,441,526,130,148,ok,5.1141190000000005,576718,9382354,148
Rust,10-30,GyulyVGC-sniffnet.git,32772648ad5a6995747a0380da93981d6b72e1e7,src/configs/types/configs.rs,722,766,221,218,ok,0.812529,103556,542335,226
Rust,10-30,GyulyVGC-sniffnet.git,90146717b78b4384ece1ddb22b0464c52da9b1a1,src/chart/types/chart_type.rs,586,647,158,174,ok,0.504533,80716,285201,174
Rust,10-30,GyulyVGC-sniffnet.git,92276d54fba7ec5c61bf00619bef13aab16ca82a,src/configs/types/configs.rs,550,704,172,219,ok,1.409489,183870,1151764,221
Rust,10-30,GyulyVGC-sniffnet.git,a9429326d98a29931b9c9b59ea2cb469b4ef0166,src/gui/styles/mod.rs,276,291,95,101,ok,0.229037,29659,143840,101
Rust,10-30,GyulyVGC-sniffnet.git,b908877b7066d5b127c52d8eb11bf3df8a411235,src/gui/styles/types/custom_palette.rs,615,784,186,232,ok,1.365748,240816,943006,232
Rust,10-30,GyulyVGC-sniffnet.git,bc5bb0ae219e9b4cbc16ea31162739dda6da5936,src/networking/types/mod.rs,541,547,151,151,ok,0.300956,55808,207276,157
Rust,10-30,GyulyVGC-sniffnet.git,c13607f1e7bb599454c674bd488a1f80a370318b,src/translations/translations_4.rs,376,441,112,130,ok,3.6983659999999996,414070,4952698,130
Rust,10-30,GyulyVGC-sniffnet.git,c3e139201df79d946e5153592bb05ecd8d371db6,src/gui/styles/mod.rs,258,276,89,95,ok,0.347865,29610,138348,95
Rust,10-30,GyulyVGC-sniffnet.git,d3ea91ccfa572b5aac43bd55dd96ed4384bb0d3b,src/gui/pages/mod.rs,286,308,67,73,ok,0.277609,28224,115756,73
Rust,10-30,GyulyVGC-sniffnet.git,d8aae02fb06b9063db08a322171e568f0bf75086,src/networking/types/mod.rs,523,527,145,145,ok,0.288194,55808,205644,151
Rust,10-30,GyulyVGC-sniffnet.git,e3377a0e4f19c3c143b3f388f8472b18831b2ce4,src/networking/types/traffic_type.rs,435,441,79,81,ok,0.362166,52168,187370,81
Rust,10-30,GyulyVGC-sniffnet.git,e4eeb2500be37b601e679431d96de44f01c00438,src/networking/types/mod.rs,482,508,133,139,ok,0.368277,55808,225852,139
