language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations
CPP,,stratified,,cpp-ladybirdbrowser-ladybird-add-real-logic,1313,1714,261,311,ok,3.05358,448894,1349264,311
CPP,,stratified,,cpp-ladybirdbrowser-ladybird-change-inherited-class-name,681,665,152,152,ok,0.339713,55808,203860,152
CPP,,full,,cpp-lancos-ponyprog-remove-a-few-lines,16352,16228,3216,3174,ok,10.547296,1281638,5211895,3216
CPP,,small,,cpp-laydbird-change-function-signature,18051,18146,3544,3577,ok,34.566742,2889798,10983454,3630
CPP,,small,,cpp-libreoffice-add-const,25531,25537,6011,6013,ok,12.835685,1767552,6935186,6013
CPP,,stratified,,cpp-libreoffice-add-const-2,618,624,34,36,ok,0.310995,42260,151680,36
CPP,,stratified,,cpp-libreoffice-add-imports-and-function-param,1564,1722,126,149,ok,0.868965,120196,396370,149
CPP,,stratified,,cpp-libreoffice-delete-function,3694,3444,537,470,ok,1.014398,221824,715900,537
CPP,,small,,cpp-libreoffice-remove-return-value,15254,15194,3435,3428,ok,6.815058,884864,3535864,3435
CPP,,stratified,,cpp-libreoffice-remove-two-wrapping-functions,41189,41163,10119,10105,ok,74.185481,8477956,29381414,10119
CPP,,stratified,,cpp-libreoffice-warn-to-info,137033,137033,31696,31696,ok,98.427732,14127232,42537788,31696
CPP,,full,,cpp-llnl-sundials-comment-change,28035,28238,7425,7425,ok,16.408944,3532928,10522478,7425
CPP,,stratified,,cpp-microsoft-terminal-add-only,585,816,144,184,ok,0.8479479999999999,102880,461394,184
CPP,,stratified,,cpp-microsoft-terminal-delete-only,958,579,145,90,ok,0.275561,42688,167970,145
CPP,,stratified,,cpp-microsoft-terminal-insert-only,3134,3693,562,691,ok,3.899015,484594,1655303,691
CPP,,stratified,,cpp-microsoft-terminal-remove-unary-expression-from-binary,17337,17318,3670,3661,ok,7.151133,1767552,5498390,3670
CPP,,full,,cpp-mikepopoloski-slang-remove-if-condition-and-brackets,30533,30391,6842,6818,ok,14.474757,1766528,6803727,6842
CPP,,stratified,,cpp-mozilla-firefox-firefox-delete-leading-comment,2181,2101,476,475,ok,0.953461,221824,714256,476
CPP,,stratified,,cpp-mozilla-firefox-firefox-update-file-comment,941,863,123,123,ok,0.25199,55808,186530,123
CPP,,stratified,,cpp-mozilla-firefox-firefox-update-file-comment-2,515,393,76,74,ok,0.176885,27968,112481,76
CPP,,small,,cpp-nextcloud-add-test-case,7740,14196,1850,3442,ok,15.267868,2278276,12265921,3442
CPP,,stratified,,cpp-nzbgetcom-nzbget-add-include,81,111,8,11,ok,0.030678,4748,17673,11
CPP,,stratified,,cpp-nzbgetcom-nzbget-update-string-const,9059,9063,2908,2908,ok,4.787999,883840,3069622,2908
CPP,,small,,cpp-ollama-add-function-argument,25996,26042,4402,4414,ok,9.044448000000001,1767552,6168173,4414
CPP,,stratified,,cpp-ollama-ollama-update-commit-hash,169,169,48,48,ok,0.075274,14176,54276,48
CPP,,stratified,,cpp-ollama-ollama-update-commit-hash-2,169,169,48,48,ok,0.075027,14176,54276,48
CPP,,stratified,,cpp-ollama-ollama-update-commit-hash-3,169,138,48,48,ok,0.076005,14176,54276,48
