name,repository,category
all-the-icons.el,https://github.com/domtronn/all-the-icons.el,Uncategorized (Gentoo Package List)
all-the-icons-ibuffer,https://github.com/seagle0128/all-the-icons-ibuffer,Uncategorized (Gentoo Package List)
all-the-icons-ivy-rich,https://github.com/seagle0128/all-the-icons-ivy-rich,Uncategorized (Gentoo Package List)
alnuth,https://github.com/gap-packages/alnuth,Uncategorized (Gentoo Package List)
alock,https://github.com/mgumz/alock,Uncategorized (Gentoo Package List)
alot,https://github.com/pazz/alot,Uncategorized (Gentoo Package List)
alphabetical-grid-extension,https://github.com/stuarthayhurst/alphabetical-grid-extension,Uncategorized (Gentoo Package List)
alsaequal,https://github.com/bassdr/alsaequal,Uncategorized (Gentoo Package List)
alsaplayer,https://github.com/alsaplayer/alsaplayer,Uncategorized (Gentoo Package List)
alsa-scarlett-gui,https://github.com/geoffreybennett/alsa-scarlett-gui,Uncategorized (Gentoo Package List)
alsa-sndio,https://github.com/Duncaen/alsa-sndio,Uncategorized (Gentoo Package List)
alt-ergo,https://github.com/OCamlPro/alt-ergo,Uncategorized (Gentoo Package List)
alterMIME,https://github.com/inflex/alterMIME,Uncategorized (Gentoo Package List)
ALVR,https://github.com/alvr-org/ALVR,Uncategorized (Gentoo Package List)
amanda,https://github.com/zmanda/amanda,Uncategorized (Gentoo Package List)
amavisd-milter,https://github.com/prehor/amavisd-milter,Uncategorized (Gentoo Package List)
amavis,https://gitlab.com/amavis/amavis,Uncategorized (Gentoo Package List)
amc,https://github.com/aerospike-community/amc,Uncategorized (Gentoo Package List)
amdfan,https://github.com/mcgillij/amdfan,Uncategorized (Gentoo Package List)
amdgpu_top,https://github.com/Umio-Yasuno/amdgpu_top,Uncategorized (Gentoo Package List)
amdsmi,https://github.com/ROCm/amdsmi,Uncategorized (Gentoo Package List)
AMDVLK,https://github.com/GPUOpen-Drivers/AMDVLK,Uncategorized (Gentoo Package List)
AMF,https://github.com/GPUOpen-LibrariesAndSDKs/AMF,Uncategorized (Gentoo Package List)
amfora,https://github.com/makew0rld/amfora,Uncategorized (Gentoo Package List)
amfora,https://github.com/makeworld-the-better-one/amfora,Uncategorized (Gentoo Package List)
amiwm,https://github.com/chewi/amiwm,Uncategorized (Gentoo Package List)
aml,https://github.com/any1/aml,Uncategorized (Gentoo Package List)
amneziawg-linux-kernel-module,https://github.com/amnezia-vpn/amneziawg-linux-kernel-module,Uncategorized (Gentoo Package List)
amneziawg-tools,https://github.com/amnezia-vpn/amneziawg-tools,Uncategorized (Gentoo Package List)
ampache_browser,https://github.com/ampache-browser/ampache_browser,Uncategorized (Gentoo Package List)
AMQP-CPP,https://github.com/CopernicaMarketingSoftware/AMQP-CPP,Uncategorized (Gentoo Package List)
ams-lv2,https://github.com/blablack/ams-lv2,Uncategorized (Gentoo Package List)
amsynth,https://github.com/amsynth/amsynth,Uncategorized (Gentoo Package List)
amx,https://github.com/DarwinAwardWinner/amx,Uncategorized (Gentoo Package List)
amzn-drivers,https://github.com/amzn/amzn-drivers,Uncategorized (Gentoo Package List)
analog-ce,https://github.com/c-amie/analog-ce,Uncategorized (Gentoo Package List)
ananicy-cpp,https://gitlab.com/ananicy-cpp/ananicy-cpp,Uncategorized (Gentoo Package List)
Ananicy,https://github.com/Nefelim4ag/Ananicy,Uncategorized (Gentoo Package List)
anaphora,https://github.com/rolandwalker/anaphora,Uncategorized (Gentoo Package List)
anbox-modules,https://github.com/choff/anbox-modules,Uncategorized (Gentoo Package List)
android-file-transfer-linux,https://github.com/whoozle/android-file-transfer-linux,Uncategorized (Gentoo Package List)
android-tools,https://github.com/nmeum/android-tools,Uncategorized (Gentoo Package List)
android-udev-rules,https://github.com/M0Rf30/android-udev-rules,Uncategorized (Gentoo Package List)
angband,https://github.com/angband/angband,Uncategorized (Gentoo Package List)
angstrom,https://github.com/inhabitedtype/angstrom,Uncategorized (Gentoo Package List)
angular,https://github.com/angular/angular.git,App Framework
angus-activation,https://github.com/eclipse-ee4j/angus-activation,Uncategorized (Gentoo Package List)
ani-cli,https://github.com/pystardust/ani-cli,Uncategorized (Gentoo Package List)
animal-sniffer,https://github.com/mojohaus/animal-sniffer,Uncategorized (Gentoo Package List)
anope,https://github.com/anope/anope,Uncategorized (Gentoo Package List)
ansible,https://github.com/ansible/ansible.git,SysAdmin
ansible-modules-hashivault,https://github.com/TerryHowe/ansible-modules-hashivault,Uncategorized (Gentoo Package List)
ansible-vim,https://github.com/pearofducks/ansible-vim,Uncategorized (Gentoo Package List)
ansicolor,https://github.com/numerodix/ansicolor,Uncategorized (Gentoo Package List)
ansi.el,https://github.com/rejeep/ansi.el,Uncategorized (Gentoo Package List)
ansi,https://github.com/tehmaze/ansi,Uncategorized (Gentoo Package List)
ansilove,https://github.com/ansilove/ansilove,Uncategorized (Gentoo Package List)
ANSITerminal,https://github.com/Chris00/ANSITerminal,Uncategorized (Gentoo Package List)
ansiweather,https://github.com/fcambus/ansiweather,Uncategorized (Gentoo Package List)
ant-contrib,https://github.com/cniweb/ant-contrib,Uncategorized (Gentoo Package List)
antidot,https://github.com/doron-cohen/antidot,Uncategorized (Gentoo Package List)
antimicrox,https://github.com/AntiMicroX/antimicrox,Uncategorized (Gentoo Package List)
antlr3,https://github.com/antlr/antlr3,Uncategorized (Gentoo Package List)
antlr4,https://github.com/antlr/antlr4,Uncategorized (Gentoo Package List)
anubis,https://github.com/TecharoHQ/anubis,Uncategorized (Gentoo Package List)
anysqlite,https://github.com/karpetrosyan/anysqlite,Uncategorized (Gentoo Package List)
aoetools,https://github.com/OpenAoE/aoetools,Uncategorized (Gentoo Package List)
aotriton,https://github.com/ROCm/aotriton,Uncategorized (Gentoo Package List)
apache-mode,https://github.com/emacs-php/apache-mode,Uncategorized (Gentoo Package List)
apachetop,https://github.com/tessus/apachetop,Uncategorized (Gentoo Package List)
apel,https://github.com/wanderlust/apel,Uncategorized (Gentoo Package List)
apertium,https://github.com/apertium/apertium,Uncategorized (Gentoo Package List)
apfsprogs,https://github.com/linux-apfs/apfsprogs,Uncategorized (Gentoo Package List)
apgdiff,https://github.com/fordfrog/apgdiff,Uncategorized (Gentoo Package List)
apg,https://github.com/wilx/apg,Uncategorized (Gentoo Package List)
apheleia,https://github.com/radian-software/apheleia,Uncategorized (Gentoo Package List)
apiguardian,https://github.com/apiguardian-team/apiguardian,Uncategorized (Gentoo Package List)
apipkg,https://github.com/pytest-dev/apipkg,Uncategorized (Gentoo Package List)
apitrace,https://github.com/apitrace/apitrace,Uncategorized (Gentoo Package List)
apngasm,https://github.com/apngasm/apngasm,Uncategorized (Gentoo Package List)
apparmor,https://gitlab.com/apparmor/apparmor,Uncategorized (Gentoo Package List)
appdirs,https://github.com/ActiveState/appdirs,Uncategorized (Gentoo Package List)
app,https://github.com/socnetv/app,Uncategorized (Gentoo Package List)
app,https://github.com/standardnotes/app,Uncategorized (Gentoo Package List)
apple_cursor,https://github.com/ful1e5/apple_cursor,Uncategorized (Gentoo Package List)
applications-overview-tooltip,https://github.com/RaphaelRochet/applications-overview-tooltip,Uncategorized (Gentoo Package List)
