language,size_bucket,repository,commit,path,loc_before,loc_after,loc_combined,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms
Swift,30-100,tree-sitter-tree-sitter-bash,06019c59af881eba3f05e5f5ca962f65417fd1d8,Package.swift,37,41,78,993,1070,261,269,ok,42.199513
Swift,30-100,tree-sitter-tree-sitter-cpp,16bf9d2c451957aee976c982c2c668b1c0d12014,Package.swift,60,37,97,1672,986,374,261,ok,74.186952
Swift,30-100,tree-sitter-tree-sitter-embedded-template,26154caf58bfaecd1401e1c954e537804b8c37f2,Package.swift,47,59,106,1483,1730,323,369,ok,102.361175
Swift,30-100,tree-sitter-tree-sitter-embedded-template,ebdf1bbdd68f4ba21b92088f1f23aaa70bfda617,Package.swift,36,41,77,1044,1185,256,317,ok,53.89815
Swift,30-100,tree-sitter-tree-sitter-haskell,d0bdf18a667c58f339d599807616bab4c9f2b927,Package.swift,60,37,97,1700,1014,374,261,ok,75.428992
Swift,30-100,tree-sitter-tree-sitter-javascript,a48cee89ea5a4866d8516ab344c1f4b35acf999f,Package.swift,60,37,97,1721,1035,374,261,ok,75.25654800000001
Swift,30-100,tree-sitter-tree-sitter-jsdoc,0c5d665d04bc4ab5efda348bae3e7e34f20f264a,Package.swift,47,60,107,1434,1686,295,374,ok,98.72962100000001
Swift,30-100,tree-sitter-tree-sitter-jsdoc,46690deb3dd2d851d373c7d1eb05520e1b798d95,Package.swift,36,47,83,1067,1434,265,295,ok,59.226753
Swift,30-100,tree-sitter-tree-sitter-json,e2a0ad1b38af1d2affec29e66dbe63f214f0e531,Package.swift,46,59,105,1393,1646,290,369,ok,95.202804
Swift,30-100,tree-sitter-tree-sitter-julia,d450ed298703044fa3332688ed92829cc607f95c,Package.swift,37,41,78,1000,1108,261,317,ok,54.615880999999995
Swift,30-100,tree-sitter-tree-sitter-php,598905acfb3eec540b4db45e84ade63f29494d34,Package.swift,37,37,74,856,862,255,255,ok,40.214486
Swift,30-100,tree-sitter-tree-sitter-python,d0535a4d241fe461d1f86885f7aaeb71064c86ba,Package.swift,47,60,107,1445,1693,323,374,ok,101.179925
Swift,30-100,tree-sitter-tree-sitter-rust,7de6a3bc1ba213424c137f134d2872975b3b7fbe,Package.swift,47,60,107,1430,1679,295,374,ok,96.739567
Swift,30-100,tree-sitter-tree-sitter-typescript,18bb23acd962f0d96126dcfc165271873c355c04,Package.swift,60,49,109,1422,1209,368,350,ok,117.838763
Swift,300-1000,apple-swift-argument-parser,05cfc384b9346613704331497de50d9d531906f6,Sources/ArgumentParserTestHelpers/TestHelpers.swift,613,633,1246,16993,17693,5198,5421,timed_out,
